class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,0.009284375000000001,0.009180323432413024,0.008872107571460891,0.00837141425623967,0.007697302743462901,0.006875629464175676,0.00593837673782904,0.004923124989193969,0.003873314375242138,0.002841427672183972,0.0019037686130545504,0.0012229390297938286,0.001118035715484342,0.0015044073968930758,0.001959191131196028,0.0023076808963862134,0.0024952396083592855,0.002504266784032509,0.0023355922592731286,0.002006305817318864,0.0015593290370454263,0.001112564295231518,0.00100844668664417,0.001497424629413526,0.002279107343192201,0.003146111751035927,0.004012480219844846,0.004826013319430213,0.005546703345781791,0.006142039669964493,0.006586233185850782,0.006860433277853115
positive,0.01083125,0.010566294203342921,0.009790344053869134,0.008558656717866155,0.006958475228747791,0.005102209549295715,0.0031189297047802323,0.001147875124695692,0.0007227612297378974,0.002298588794454242,0.0035392442355243127,0.004373035795831934,0.004771803240991903,0.0047460314613634565,0.004346379354679656,0.003668703564429883,0.002874650114579164,0.0022531216386927067,0.0022072691541460097,0.0027576393420182697,0.0035133650723856475,0.004204925030531352,0.004716808487476392,0.00501547575823353,0.0051201042730873916,0.005089058910828026,0.005005298360825656,0.004952618003130617,0.00498402927492437,0.005099385561903652,0.005251702361403721,0.0053770223794218945
positive,0.01245,0.012328451551451881,0.011968527810872686,0.011384320660795581,0.010599109065064564,0.00964518704818453,0.008563962629474595,0.007406842610992616,0.0062378740052347744,0.005139610093500452,0.0042219938484637795,0.003619786533340986,0.003431365311265554,0.003610012828731638,0.003984564996213063,0.0043898828587985,0.004721139709461053,0.004922975896532351,0.004972113061039855,0.004867173317536501,0.004623992247249161,0.0042742360790666714,0.003866295639388616,0.0034672473744770545,0.0031608169564712636,0.003027990811236767,0.003103837308046529,0.00335022613566931,0.0036844630477030553,0.004024174903566724,0.004307069282943698,0.004492102326941399
positive,0.005859375,0.0057523137015421544,0.005435243809365617,0.004920360118231046,0.004227513256361917,0.0033835789391236234,0.002421904404719417,0.0013837207014238027,0.00036911243531318936,0.000860291575491623,0.001891099289262554,0.0028566121622625312,0.0037079470401590333,0.0044107768145697284,0.004937929408854011,0.005269400419052337,0.005392889017319474,0.005304210738112048,0.005007466345867729,0.004514958457909223,0.003846932976322441,0.0030314517777887497,0.0021058512139282997,0.0011315761234534183,0.00047830486234949225,0.001207708646942407,0.0021905744375228277,0.0031230473555030505,0.003946984596225718,0.004625465468327391,0.005130477184136884,0.005441735577916142
positive,0.008293749999999999,0.0081866076010587,0.007869277964498874,0.007353897593859019,0.0066601800171020645,0.005814668334276709,0.004849738199342907,0.0038024131195416736,0.002713133571637005,0.0016251024881463619,0.0005924054756776876,0.0004492720757774561,0.0012769287174273915,0.0019768030556920014,0.0025035719014614715,0.0028356026025306265,0.00296037634854084,0.002873948738230915,0.0025812047085225025,0.002096660317969699,0.0014485586485085118,0.0007170003235975551,0.0006033287927924788,0.001488657635531952,0.0025254253918807873,0.0035813544088110364,0.004603030306166721,0.0055473738616923654,0.0063764526703516565,0.00705753690446973,0.007563941239386113,0.007875897357180986
positive,0.008293749999999999,0.008176732824581992,0.007830275571165729,0.00726813717320317,0.006513268887781977,0.005598302898102045,0.004567768650691966,0.0034863739684810042,0.002470292904146485,0.0017937664874412966,0.0018911932566364066,0.002612969618151264,0.003500874625327429,0.004347179812004181,0.005067812349010747,0.005620163097620835,0.005980817317160757,0.006139124265154036,0.006094997268521733,0.005857958460329435,0.005446603445352865,0.004888370930843242,0.004219964641955619,0.0034895294185340003,0.0027634254386944336,0.0021429622870214617,0.001781452924422495,0.0017985781993974505,0.002098030454321424,0.002480504823522822,0.0028150139502410325,0.0030358667613321457
positive,0.01254375,0.012278675348495135,0.01150236424647128,0.010270056814653785,0.008668948945602583,0.006811308821713913,0.004825650376747056,0.002846703304962963,0.001005233586210762,0.000586091970806201,0.001827984197073949,0.0026620721401126946,0.0030601676530959475,0.003033534667804664,0.0026372293048135087,0.0019910500650392985,0.0013921445349711359,0.0015087598897592916,0.0023593337952531805,0.0033758762071797043,0.004303655459602396,0.005029548376331044,0.005496580431745989,0.005687525346869353,0.005620735672459064,0.0053469713250755505,0.004944195285833874,0.004507717397985175,0.004131420872232169,0.003878326001374063,0.0037548731506460223,0.0037173923310065624
positive,0.013209375,0.01267428907119515,0.011149873761518212,0.008875206569631379,0.00625413154297666,0.0039666692790772395,0.003222326517608047,0.004097343368599024,0.0050047908321287395,0.005218555711246373,0.004602673032905344,0.003274371285229717,0.0016009491241344605,0.0014136903620707978,0.003135106647238386,0.004705854474592254,0.005725232835057891,0.006064714371092156,0.0057342636851715496,0.004863717588559764,0.003684430500440062,0.0025141263407802037,0.0017358052766684113,0.001517176114608115,0.0014290985385515295,0.0011443215302503684,0.001170387644174753,0.002224645676424909,0.003774710120658868,0.005383159967891997,0.006760685900595539,0.007684529770332185
positive,0.013096875000000001,0.012578357074693592,0.011100053160502358,0.008890653842048344,0.006336287716089759,0.004077872778534944,0.0032401194141436036,0.0040081186575737565,0.00489269778011152,0.005130856013452039,0.004560724739071697,0.003278879366562539,0.0016190398977733807,0.0013246662974676874,0.003043492359413834,0.004642684642775631,0.005705672376295805,0.006093654855017832,0.005805744189593347,0.0049635597222750655,0.003795952465309901,0.002626141743214202,0.001847617249143566,0.001629261768291968,0.001534869648778619,0.0012029944633401416,0.001089915578032166,0.002118569965523614,0.003716477059253249,0.0053857017913877415,0.006819524612621719,0.007782850235033757
positive,0.011825000000000002,0.01155420041344118,0.0107600920178138,0.009496193997743763,0.007847330253618915,0.00592357515839493,0.003853247230122329,0.001782331128461002,0.00045778037498845573,0.0020264099392112377,0.0034277262154507795,0.004438612625679956,0.005015147485161993,0.005157222608568167,0.004908489910420134,0.004364836747533395,0.0036978905515509786,0.0031970182569046723,0.0032136933687408704,0.0038160813214092757,0.0047237062006068,0.005657909217392791,0.0064490033755522985,0.007001593366294686,0.007266877420238725,0.007229304242286553,0.0068991369110114765,0.0063073487101403215,0.005502585205888182,0.004552642085615095,0.0035585175101289974,0.002703297523532458
