class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,20.4940625,20.300794236480193,19.727570260258556,18.793902578926602,17.5315561197604,15.983463610867533,14.202310317998034,12.248923622437166,10.190727841743753,8.100869064106345,6.0597800938383735,4.165811646041757,2.585921650370946,1.7507837517445932,2.0816284421377578,2.8618102195347848,3.5398754309164966,3.9655601169670076,4.0988766202191345,3.9370308195604573,3.4970042570310205,2.8095674576321916,1.9161206727660107,0.8669298024405423,0.2997998043631845,1.4899526556705407,2.6734587194063772,3.787262076451439,4.778605632636628,5.601318959458327,6.217449207878732,6.5987510598472765
positive,29.6565625,29.012801631225393,27.12749164823608,24.134897182058076,20.246935931305142,15.736520530981393,10.91662306121102,6.119148933527302,1.7217015573178978,2.352593459431163,5.345319343844666,7.3911132927074465,8.390465659865937,8.356085585323724,7.38545348608527,5.648315456198726,3.3721170702032652,0.8655472564033019,1.848614428868779,4.178043140070824,6.063443469901816,7.322393607627211,7.850018569784766,7.616914347901867,6.669833425747348,5.129156531864971,3.195429486170968,1.3389916262870518,1.8631647524213357,3.701305550784094,5.2638726888176155,6.280963922832331
positive,22.36875,22.158603514309615,21.535087483755117,20.5187190342642,19.142859765312082,17.452501129861993,15.502635807027024,13.356289248949755,11.08231752029868,8.753145931348245,6.442851418955542,4.227124914070625,2.1960890804966398,0.7168995985294078,1.5651173722694767,2.8122708821873394,3.7864178786238725,4.435652255598407,4.752189811307379,4.746972151921422,4.446143138714371,3.8909815093113735,3.1417624489953977,2.2960597546053494,1.5723083710442647,1.483688051455368,2.1589095611144202,3.082045760193289,3.9861646129058057,4.764086942606714,5.356553208388553,5.726284464676252
positive,17.7390625,17.54161979036858,16.956354481321938,16.004260981837405,14.719721032291933,13.149745194252027,11.353329456021536,9.401757362808237,7.3822521714442235,5.413210022425026,3.702669094797581,2.7219091842223464,3.002972563040764,4.044009771323658,5.17639335207513,6.1380651818106085,6.830982875895772,7.214609453487203,7.276830430846673,7.024630112594043,6.480069632292271,5.6777619386544265,4.662730388364685,3.4884239500015295,2.215580911554465,0.9215868081836278,0.5077121645704568,1.663915958185073,2.7355642527448345,3.6275740314042486,4.295736301978036,4.7091532824843085
positive,18.677187500000002,18.479464187532834,17.89331212348445,16.939575701846366,15.652326970709963,14.077977078292314,12.274325397435046,10.310073556458926,8.266192050194581,6.243435588955724,4.391441183823953,3.0105384987694093,2.656219533740075,3.3446120656306593,4.35027229768748,5.260839125727777,5.92916952612516,6.2992573082440275,6.353255026746126,6.0956827388331085,5.54741509566622,4.742453775669957,3.725541870026885,2.550300475057645,1.2805476905361215,0.24237563791001424,1.3819434216856292,2.590967337690946,3.6694093053327648,4.563844683679748,5.233149594627005,5.647113479444473
positive,18.677187500000002,18.47298528841667,17.86734857994716,16.880957239852453,15.547532456215464,13.912801723883797,12.033259851819993,9.975108601631733,7.814459936646614,5.642767698748693,3.5973021815419175,2.049899535954169,2.077422767884141,3.330706787776142,4.672767180008841,5.807797527945997,6.65230071367465,7.17447090408276,7.3664765144464335,7.237380760649606,6.810302619672455,6.120566737062432,5.2141330636438115,4.146513902622663,2.9839486083011684,1.81760465859107,0.8978531210810324,1.1078281141043416,1.966608272638663,2.77158363808849,3.3916540645065734,3.779262878536168
positive,31.94,31.296237854114032,29.41092217868965,26.418309336199695,22.530289556868315,18.019678424375815,13.199037574236838,8.39774362286803,3.9474917652241044,0.6899837533193228,3.104968187532832,5.130138807324296,6.125255650969263,6.09113490108545,5.124519515919419,3.4002286328264955,1.2048976389355655,1.5978926996403389,4.12512778679415,6.461435228695706,8.344972683665809,9.601030986077207,10.12482726916436,9.886103962882927,8.929514470863625,7.369332056019276,5.380249345295699,3.194686469178573,1.240869167282015,1.558835867471475,3.004614096346703,4.001556905330073
positive,42.3590625,40.64472166929456,35.745248960162286,28.353190755421835,19.506128212370417,10.46739196763334,3.2285096144130083,5.4340229416146,9.16579764029466,10.503657731947001,9.538690749498416,7.000349923659769,4.488208304594903,4.938304998389072,7.382595472734001,9.246346897452804,9.72548085351214,8.736874938707553,6.592492482377814,3.908781667323911,1.9533181161210398,2.766708309552947,4.042580484787394,4.493522387283835,4.1531020390614515,3.562173591673855,3.534390583367699,4.179744808696666,4.763260954166864,4.718296568763754,3.8702691939735376,2.3947055978763587
positive,38.2303125,37.01861861949272,33.51729131555754,28.11095247148825,21.38838896616799,14.078117648278049,7.022184992272865,2.310535534610248,5.412039331303607,8.590588549082288,10.102416571864001,9.984260401254382,8.603239606102301,6.614232029862024,5.0809435744669385,5.144051722781085,6.329882664851004,7.395029891713945,7.739996204541931,7.231722090786112,5.989724511255504,4.281727197240886,2.4473746157370138,0.8387373637109532,0.4071974565371439,0.8530068365810672,0.659578293292047,0.42198174633075647,1.5521317419233567,2.93752564558235,4.196451124658776,5.068514815072833
positive,29.5625,29.020822206787404,27.431266599695373,24.89768498206087,21.584854242643793,17.70713613291522,13.51543361464416,9.28872185778695,5.361598804817441,2.490587636159109,2.9733990772217935,4.927059084585313,6.403118996027349,7.141956115040866,7.141982946334237,6.489546433587134,5.324319241990004,3.821299648885194,2.1835781989260785,0.7698699784652877,1.2260963327039975,2.3001037394658983,3.0445419230177686,3.3795747813257164,3.331313445445381,3.011212873224029,2.641683555390856,2.5495487135937127,2.9202174380884247,3.5734414512861274,4.227008220984532,4.6879335147931265
