class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,13.5625,13.456298157990789,13.14155452067529,12.629737326527794,11.939577297287174,11.096522925931497,10.132038558555909,9.082807337738451,7.989915107216169,6.898080753969025,5.8548936350513845,4.909619559930921,4.110036029443186,3.493910190102096,3.072426126897757,2.8138936555077216,2.6487025125521364,2.497912931262603,2.299411501816948,2.0167028315128412,1.6373293440021421,1.1724797501975133,0.6839311061019512,0.5214225962378529,1.0083279870552215,1.6710745517945111,2.3494061341033228,2.991760484269731,3.563898906822854,4.038435527148944,4.393545658064992,4.613181598669429
positive,17.515625,17.089229517364952,15.84354202233464,13.876462701169393,11.342927573488923,8.444485571852134,5.42233833566873,2.6039444705960317,1.3481751186969555,2.936787521035257,4.405795605813497,5.213845489211784,5.284236446816185,4.6436162978876485,3.3987576626138156,1.7925597807130658,1.2442249407261534,3.0403881064981344,5.058294399593833,6.827438910881728,8.150652843184714,8.899944849039194,9.007170469900815,8.46538863598039,7.327662033730571,5.701476207245683,3.73933848915932,1.6321418326336987,0.5781319305393109,2.3675599227600985,3.82423826040535,4.757225953497093
positive,15.125,15.001715806901036,14.63615430192282,14.041052806403062,13.23719701566458,12.252791802840262,11.122656226020876,9.887332129358658,8.592247295535563,7.287156106091979,6.026194308553054,4.8689123466231505,3.881841972540656,3.1356090157382037,2.681281653209201,2.4978775376943005,2.4752682935391066,2.481612199896073,2.424939979324065,2.260784669558994,1.9811531021413729,1.6106578237398654,1.2260165780535572,1.0238881199401064,1.2427309291885325,1.7746316892300065,2.4131118370757734,3.0535517913602237,3.6392152937931597,4.131816585421775,4.503391198704611,4.734232913536197
positive,9.5,9.40466783214958,9.124427587856502,8.67670922036058,8.091163714384857,7.410751789114226,6.693409980070225,6.013422586810224,5.458674738917778,5.115009603560771,5.031946736402935,5.190745543106483,5.512203054641326,5.896906026475299,6.257379867368875,6.528669422723373,6.6673176765472935,6.647638534825806,6.45840580276721,6.100375151819372,5.584382734195243,4.92974693253805,4.162819461654463,3.315690147503701,2.4253984404012714,1.5357269155172275,0.7215408962397953,0.4553162401394619,1.0205301119745243,1.5843264678566713,2.015775439283156,2.284079175652933
positive,10.40625,10.307919543643862,10.018228151423285,9.553127484004504,8.939417855677288,8.215201351107382,7.430684931546045,6.649073007726144,5.945935706514789,5.402265670955153,5.083869399250405,5.009429771308634,5.133912829360547,5.369574621305245,5.623181813044507,5.8188793284296425,5.903603904607761,5.844752417428512,5.626452505758577,5.246394329133432,4.7133863816343675,4.045405447862399,3.2679714302014586,2.4129562300309453,1.519196481365222,0.6516690154344986,0.44307123064180076,1.1783113807639902,1.88592285885424,2.47569482838382,2.9167009958758263,3.189132829865704
positive,10.40625,10.297050735791231,9.974642290870113,9.454671532642621,8.763563435262554,7.939361704014706,7.033620923956984,6.11506739902211,5.274899910018806,4.627993258308429,4.289284191507941,4.306990891387487,4.612989007388525,5.070635145826175,5.551993217953906,5.966582030467146,6.257573536323804,6.39252177212095,6.356613733751616,6.148502092531024,5.777642424383818,5.2623791014783805,4.628398387914106,3.9074437027019355,3.13648534418441,2.3582174055966765,1.6263155259309883,1.0302301719499771,0.7629581245403337,0.9176394310123264,1.1935350067275394,1.3966285819186093
positive,19.359375,18.932868567512784,17.686788183246062,15.718797300622988,13.183153706288119,10.279242457211039,7.239232828362077,4.326658289350373,1.9465921360717353,1.560711283334868,2.7234814558351954,3.476450113586141,3.5403772666789584,2.9286329386335956,1.8214499785518141,1.2446664278839314,2.756428919929734,4.837080089856485,6.88938629081194,8.667053698637678,9.993091382281,10.743402547407012,10.850915379180051,10.309019826034673,9.170814874482728,7.543535030960059,5.578536650178995,3.458166595806309,1.3865675619478168,0.5701499418956703,1.9845495686839483,2.914080115279663
positive,24.453125,23.573936709283277,21.069811007278865,17.322445978713418,12.913737614071742,8.579811927076912,5.25347608299876,4.014682500911056,4.362656899345275,4.652499224226764,4.5908390541585495,4.856964442945155,6.02642510426667,7.731244101414204,9.281377623088288,10.191765624216155,10.235806197639002,9.419969164012285,7.949178354730769,6.183008175320585,4.586323795523647,3.6134168879765274,3.338822157144461,3.318021202868112,3.191929852745055,2.9595341976595577,2.809398258018606,2.833909757678259,2.8793127483284415,2.720156401570821,2.2536290732598285,1.581063974433587
positive,22.703125,22.090613456467793,20.316502198300864,17.563471845861265,14.11244819810385,10.314792719923789,6.57978870165935,3.5028505534839476,2.624423151640653,4.050812237327743,5.542583405607485,6.599403828568227,7.284509126397393,7.761386130581375,8.153322302330388,8.47667578873452,8.652032478881768,8.568477818396582,8.147493360246278,7.377283603614034,6.317724331553215,5.085610741732524,3.8291103959740553,2.69828236441408,1.8172354078056427,1.2635645733185559,1.0621688261475932,1.1856294092434485,1.5470353830048569,2.0214208706278276,2.478253361564378,2.8041303057035005
positive,17.984375,17.684122313023313,16.802538467447697,15.395873804307833,13.553844242182672,11.39439318061877,9.058496503625541,6.709480668321766,4.552181487459781,2.9279429373031807,2.440080696806219,3.0303298489348727,3.8118872138394684,4.365024265001933,4.588926312033231,4.48846443226438,4.112700650500228,3.5312909211148837,2.8194586674223543,2.0454174193455623,1.26026646555407,0.5004154380556229,0.35898121201184413,1.1157259854415411,1.9412280549895367,2.8211552345646203,3.7401356838769604,4.661539988631087,5.53255102786397,6.293137178647994,6.885376870067233,7.261603686445043
positive,55.5625,44.00756309161806,18.86267461075496,11.299807460064198,15.11388558426152,5.99502928231369,6.305839795102207,10.970980310307382,7.348555270704984,2.7847338580320735,3.0996578080515937,1.0785759728617503,3.7313717175114642,6.834040482922261,8.210629328915598,7.845382291287329,5.031347048753445,0.4732496197412994,4.25376763381147,5.292695872826723,3.1645236357716944,1.612060514885642,3.6372456740996384,4.623182191849119,2.009913196731142,4.423396010017486,10.627876878214057,11.847548244374906,7.356326507520564,3.7614712685539744,6.230674934445372,6.1239119747036685
positive,53.21875,42.416446067904246,18.731977041761315,12.429819583237025,17.502147149656764,9.559388792069882,3.4067589789061836,9.784767586429348,7.826685748040751,4.800203284959654,6.144475899379162,3.9399215228540068,1.5237048786490113,6.177375237141584,7.291029411557201,5.392806877892843,3.8715962873858634,2.9876741853847473,1.837264027685413,3.6881757183197323,3.4792862948940395,2.984664841793426,6.243753605160779,6.5553916842258415,3.5056904029614184,6.996503138782229,12.033682698154006,13.552991416624808,11.491831385715038,7.378755152947267,3.6128554066125433,3.2633593330431814
positive,17.46875,17.270682522542444,16.68743059014877,15.751095779544393,14.512741641702624,13.03894290349288,11.407354052101311,9.701660657394944,8.006328592755068,6.401568627777241,4.958824171879751,3.736657285100916,2.7756162250210554,2.0883926486647533,1.6444271623104816,1.3695365731719014,1.1879111130467632,1.0742014516147014,1.0583350010306634,1.1684776209967733,1.3759150631514339,1.6190242377271389,1.8441954975895545,2.0168929136009077,2.120001318356341,2.1507879380892447,2.1179586321905064,2.038476115755288,1.9339528436814302,1.8267611705293658,1.7363869654558657,1.6769026014322117
positive,20.875,20.536826951062018,19.542845355435826,17.953368831891005,15.864777260875652,13.40403342239384,10.72288983905159,7.995617384690088,5.433559472661558,3.373691672370011,2.5244125810142095,3.1221336915560283,4.0566544721649604,4.723120592647977,4.9724546772425375,4.7931635158635215,4.230192814754429,3.359492284010881,2.2745571711286523,1.076335817630048,0.14377154468475747,1.2755194761885027,2.2614285345996357,3.0400229650643467,3.5756153606127503,3.853589991032623,3.8787383074645603,3.67262168652649,3.270919473054296,2.722797256131025,2.0978463521057042,1.5195132695427043
positive,11.96875,11.865542647931852,11.55882321380758,11.057199589206206,10.374688778943584,9.530235724524138,8.547065242874236,7.451891512835404,6.2740149409224895,5.04434059669055,3.7943558301387252,2.555108624673241,1.3562484530527594,0.2260753787634999,0.8156457958954979,1.7433836785984387,2.543565718140579,3.2048796039446894,3.7209366574063205,4.090116590423221,4.315297593954032,4.403412097730859,4.364843621974169,4.212695992342895,3.961979731911985,3.6287777447402267,3.2294799599111363,2.780232507577999,2.2968942725490455,1.7962897864231517,1.3016468997920065,0.8657659177939923
positive,11.875,11.776892503246176,11.485312264054555,11.008392334782277,10.359379171692252,9.556182611940939,8.620771611160151,7.57844174042422,6.456989831611028,5.28584781462736,4.095274129837168,2.915891485098272,1.7800418543351444,0.7417378179333424,0.47371073026540345,1.277432814137725,2.0372507516258276,2.6770922052437833,3.184010414768018,3.5546387087154305,3.7909866824399705,3.899275679169154,3.889166093646975,3.7730062780553815,3.5650562498327836,3.2807249167742176,2.935912587662639,2.546630654660337,2.129262583028846,1.702406850435414,1.2931972096979898,0.9569205874981052
positive,20.375,19.997568875744175,18.891429575896577,17.132831037090252,14.841739694664023,12.172114103393202,9.300414423568828,6.41599708841829,3.7288732578110513,1.6449998734746254,1.7376471304425292,3.058057074890639,4.093978923491135,4.67604532133185,4.816915484236369,4.580553261061288,4.05648593304599,3.345754500785827,2.5502362671356016,1.766319281457886,1.091267401924222,0.674810679907312,0.699087602149122,0.9520076791263917,1.2110317820691554,1.4400762441134143,1.6492014600575782,1.8477991916624716,2.0343112759216964,2.1984962764534646,2.3272663893618577,2.4093341965408435
positive,11.15625,11.069739707155158,10.812584568118046,10.391834667628514,9.818986936653028,9.109619327115418,8.282908180106135,7.361063573238372,6.368741234203225,5.332544438475916,4.280885299809974,3.2450133167754753,2.26432447188807,1.4116367757889705,0.9139416467650595,1.115979043109637,1.6586068137144498,2.2072756241950593,2.6775157778710494,3.0462562239243938,3.3077950485126273,3.4641743513658243,3.5221631120341645,3.491878268039258,3.3859305540367455,3.2188260690091868,3.0065995833070103,2.7667470668644576,2.518539436038542,2.2836692826342655,2.086684324602331,1.953582143420531
positive,12.3125,12.228395024763996,11.97882684520081,11.571934818121639,11.020952097942422,10.34372024078785,9.562035656336723,8.700852713826029,7.787373734152916,6.850060367516311,5.917603802290794,5.017892763322385,4.177018279124899,3.41835272733171,2.761737763266945,2.222811509742156,1.8125,1.5366915274352315,1.3961055091540475,1.3863599865504739,1.4982342525692698,1.7181156055404008,2.028612171153578,2.4093073783707917,2.837626265847084,3.28977954028687,3.7417483702189056,4.170271390349366,4.553795370363413,4.8733524679961775,5.113329882378197,5.262101938058617
positive,17.625,16.963167398389235,15.054653834390306,12.123628524925586,8.528757975736541,4.804735342805802,2.4142992656210507,3.9974225953160443,6.293184947890502,7.798869123944176,8.28262126447501,7.775546617963604,6.47135119751609,4.725940631568504,3.1974038079712708,3.027961612730599,4.1429533547941375,5.334939167610488,6.069476949511828,6.202418413334105,5.756595223831939,4.853060311196473,3.6739086218293884,2.4406099460311235,1.4433721667139114,1.1380688825488339,1.4549955616398522,1.772480706033607,1.898127366293613,1.8493900022481866,1.704826611165111,1.5601889238229671
positive,13.21875,13.077812995551456,12.660433993765292,11.982889854722902,11.0723175203565,9.967024783331839,8.717710280525182,7.390970352048551,6.078060575265629,4.913623357500303,4.098314577029634,3.8487769296355516,4.184457537195371,4.871495325227695,5.659715316408432,6.393540917559914,6.9886207732642065,7.400986012042092,7.610844526490249,7.614867746268574,7.42216380108748,7.051737840102099,6.530510504900036,5.891510195207812,5.172092325007514,4.412148161510304,3.652318541821915,2.9322502366412326,2.2889250987400174,1.755020179726118,1.3570606571939026,1.1130832470396195
positive,22.671875,22.06403126392766,20.315095580946476,17.638030057092884,14.354144035067492,10.85148832113348,7.5461709734580955,4.8728839984051895,3.2996232555909795,2.9593995753522506,3.1062852171132698,3.0991918320066105,2.813366762979185,2.34026262003024,1.8393531344088672,1.5369901699861779,1.6849662691356762,2.239948670068285,2.941944653414241,3.570442191225798,3.951961093236444,3.956573140861485,3.521277768003203,2.6935861082385153,1.7940020631017082,1.9053436627184337,3.255892624212611,4.897491484477827,6.43846567961232,7.71378796989366,8.64505412097826,9.204746793769313
positive,24.046875,21.56213095647192,14.817693882146292,5.863314200788514,4.5131660236990045,11.104404789171584,14.337085733841779,13.75327697181678,10.47335975573146,6.903418056913207,6.006740597870575,6.722383489178124,6.198127719686858,4.19708961710221,2.9112928028676355,4.375333391523809,5.493093141903294,4.835062507837618,2.53601317264998,1.2862588657847547,4.107342969695295,6.051667354628208,6.505537284267941,5.806456404762917,5.119151109634743,5.531531529940082,6.4148954904791236,6.642097023537257,5.815652844244826,4.1705229356854865,2.3072690748405456,0.9753043158777711
positive,27.96875,27.08653741816613,24.54888416847431,20.666445955349378,15.905950180611715,10.826060840799133,6.024233153974982,2.3276759001623706,2.4638504353532533,4.177832129876001,5.048364199903739,5.082730867156646,4.61501559257439,4.083002715669926,3.8308350606897346,3.858043024769079,3.8957358499390073,3.724431436084454,3.2949754841478067,2.6945405241758715,2.0961975268079804,1.734590353873387,1.8184655412425836,2.311813339748607,3.0281471904796144,3.7993392986871486,4.460522588220469,4.846316957770759,4.822608693518216,4.324706203054639,3.3917168228574073,2.229359467861863
positive,17.96875,17.574817069928663,16.41926377254729,14.579208125434064,12.178277311639507,9.38169489109295,6.39990619703265,3.5608362755430707,2.027302019058545,3.446372134145866,5.44188348454913,7.060395114126338,8.120804708638488,8.578356687701751,8.453026625630867,7.813085675305437,6.766545116416501,5.456325324826329,4.066160923836036,2.8620802370383758,2.2684132795980974,2.513971145847128,3.127290365551386,3.6706703664395093,3.9810841360766474,4.0221313170262905,3.814610583661943,3.409410452379498,2.872061550159467,2.2720392686987694,1.6795971986398899,1.1858758366028688
positive,60.59375,51.97726587037146,30.304185859290335,6.532633673863152,12.712884325507464,16.81129231949905,9.989821359193432,4.239841371370885,11.20525400449502,12.605099855363347,8.824400813554961,5.047527300657174,4.063472957465135,3.7133103939382974,6.669288015576897,9.411693754937723,8.854564942022844,5.771551376331797,4.483995394184364,5.55810018694056,4.934717792407307,2.913638005413476,2.454553107253216,3.2554971521193434,3.2032236996108017,2.2870008201276804,0.9538330953945915,2.0248287849576045,3.5553359488963916,3.7038857068442197,2.441655286632488,1.0319729570056595
positive,52.828125,47.35807572669715,33.1189755088268,15.690174563372382,3.4015689577147024,7.314570602345099,6.318327331488202,0.6077993288632095,6.582666469867725,9.866749458581909,8.070132140534849,2.520704202012591,4.625364376409428,9.13817868001345,10.053625160437502,7.80134717133047,4.299714970567817,1.7055815611167937,0.7792683591601215,0.23675795566044094,1.7373757765788853,3.419878673895879,5.388910954412215,7.2872227278680795,8.033198097752177,6.7551953697999485,3.662259218891258,2.0948702187139046,4.979867968612346,6.586784758911912,5.973805691022923,3.4926679970967505
positive,37.8125,34.387530392094334,25.217356306654803,13.3729213880631,5.290187185672691,9.524784526588626,12.360972205597292,10.955284192155986,7.100410849426436,4.181478411839281,4.460916362241503,4.655799575555264,4.048384967189422,4.328422896021413,4.934161277673021,4.001209945435604,1.0666280103672507,3.280969710799663,7.4517866548775435,10.208636203716052,10.81111774751477,9.330533840978338,6.474896995556579,3.1932819119630342,0.3174387056541214,1.5794275724618754,2.242770373469415,2.529282111267467,5.028443832076713,9.483762500326387,14.287629932206247,17.946996914648633
