class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,0.221875,0.2202245220242049,0.21533079483028272,0.20736508421717664,0.19660676016230344,0.18343456791771623,0.16831517294122864,0.15178974612251994,0.13445953472145644,0.11697136050754048,0.1000033273262862,0.08424834101358868,0.07038518096973564,0.05901015052944244,0.05048821643855552,0.0447342642930145,0.04110295761864346,0.03860485673748921,0.03632968421712864,0.033760003534414544,0.030904151083493422,0.02836267970953805,0.02729654835162217,0.02890835306592268,0.033464193886741836,0.04016736130273121,0.04793088548209421,0.05583541545502325,0.06317696656336601,0.06941975405754497,0.07416187423280134,0.07712009813089513
positive,0.20312499999999997,0.1969399003718968,0.17893582749805279,0.15072429448889763,0.11486424341239274,0.07475747096406425,0.03522441293973547,0.018276313949366102,0.04413094639185626,0.06692137479003972,0.07928095827085606,0.07952582404083486,0.0674642494238901,0.04416705236908519,0.01313323126492222,0.03009906216524497,0.07214622737884496,0.11404236185266102,0.1516960317023713,0.18167262854349453,0.2012168890310338,0.20846250096333205,0.20259058462925328,0.18390437225496417,0.15381134002588726,0.11471888527767893,0.06988724214635764,0.023824714242794785,0.025174028355477086,0.06421543508373372,0.09528260929121243,0.11508128419572126
positive,0.15,0.14998692987944787,0.15001437871285914,0.1502646074871651,0.15098435384150086,0.15240822099467458,0.1546735029178322,0.15775091290432597,0.16141372793049819,0.16525376952080625,0.1687347464019178,0.17126362272039197,0.17226252035066142,0.1712318532127081,0.16780339456349921,0.16178728977391774,0.15322063340164077,0.1424291983654133,0.13011905361252657,0.11751456701103735,0.10651716499233643,0.0996740126228595,0.0994430073883557,0.10672126469793064,0.12022238117579896,0.13754550403022692,0.1563712787353148,0.1748661949182948,0.19165155240565573,0.20569804936036432,0.2162505333158549,0.2227871502248161
positive,0.165625,0.16390928980511194,0.15887142266407636,0.15084299579779747,0.14039069420948458,0.1283410370821144,0.11581642703445591,0.10425830005334955,0.0953426008739715,0.09059927082642324,0.09069916782814935,0.09497372402647818,0.1017819003963195,0.10929971348623743,0.11600989133646225,0.12081480811057611,0.12299167908846517,0.12212421729896657,0.11804798186384678,0.11081063476046304,0.10064157193582429,0.08792684516319253,0.07318881434520114,0.05707707347122728,0.04040352346747206,0.024417761164881598,0.01301909439813972,0.016724728891584745,0.027905809957408507,0.03836423807318454,0.04640573208901339,0.05142263145021232
positive,0.15625,0.15457412770149198,0.14966269664264842,0.14186988653360147,0.13180634325619642,0.12037361867903418,0.10880990203801372,0.09870314948387471,0.09182769453237266,0.08959419293031988,0.09226633566670409,0.09874247136628292,0.1072098678728734,0.11590220301394881,0.12343055136970467,0.12881035321134296,0.13139872526017898,0.1308318332513287,0.12697893838610166,0.11990917109384662,0.10986514182347135,0.09723965234490473,0.08255450416648477,0.06644439165481435,0.04965996392335834,0.03315591309840635,0.018695669094553533,0.012585924600707087,0.01977138640104111,0.029390748670690862,0.037163554036308964,0.042076246010659145
positive,0.15625,0.1547088873119,0.15020307396897548,0.14308936066043423,0.1339766914975472,0.12374582380000164,0.11356192837561002,0.10483086941452698,0.09899284184129513,0.09706719250299826,0.09914135795404512,0.10428534394665794,0.11100600498112546,0.1177858627047967,0.12336977974897968,0.12683185812821526,0.12755207269974095,0.12517526622410424,0.11957469629317113,0.11082227733866416,0.09916291002535031,0.08499054420353273,0.06882540844882891,0.05129600596448141,0.033148978327911194,0.01551681700965394,0.007428889448822546,0.02102343305915787,0.034967917707602984,0.046612863530658806,0.05531392538415949,0.06068475752232848
positive,0.253125,0.24693305429242549,0.2289049898492958,0.20063827242595852,0.16464823403308304,0.12417028493656859,0.08295057919637938,0.045271481505900046,0.018703534107912947,0.021736413501734702,0.03148168979965531,0.03128754064186731,0.02003598259931108,0.01194147521553621,0.040636842153801055,0.0795718656966917,0.12203515118604147,0.1639966037177853,0.20166789133763857,0.23164933883997652,0.25119301239115766,0.25843416526463914,0.2525533691287191,0.23385139324507648,0.20372934634429607,0.16457606750949424,0.11957550571340653,0.07246985465887763,0.02754589727932147,0.015407016312399664,0.0454113210416823,0.0651009909846458
positive,0.253125,0.2513894461765631,0.2452782761206758,0.23259310318525858,0.21101917848726254,0.17926005547296459,0.13767920004347659,0.08837263079075046,0.0348006532667068,0.019053142143250063,0.06883705694120604,0.11150391916647678,0.14509157479809934,0.16922281365731975,0.18490025361049023,0.1939407135884013,0.19816048578109613,0.19863699641046711,0.19542645515958393,0.18787165130667177,0.17525546221621027,0.15740794990488544,0.13502591741894399,0.10969161805599881,0.08373512275150999,0.0602051338723505,0.043253684810300806,0.03741958391863875,0.04138449826385353,0.04839801018906787,0.05439537613042339,0.05812890682085895
positive,0.259375,0.2562770933926677,0.24671420444285477,0.23002919578754236,0.20555546243660006,0.17305592888996882,0.1330595733621666,0.0870035693877973,0.03718470906418467,0.014036950979838323,0.06258706002673334,0.10639204832096295,0.14300175442896948,0.17097883290515517,0.18987740370193934,0.20019069335510334,0.203125,0.20023155596527234,0.19298294908079006,0.1824284186041838,0.16906260776483562,0.15295944813094364,0.1340928961180301,0.11269054574096445,0.08950881890524497,0.06607329813306925,0.04526697913396815,0.03303804262595289,0.03541676507623982,0.04593755886181395,0.0562906290449266,0.06322189367200162
positive,0.040624999999999994,0.04444407942711847,0.053419919074394896,0.06342314688268146,0.07158205759114884,0.07623242968123638,0.07658654873741087,0.07276176281721063,0.06621756281380341,0.060685712471184046,0.062360649683343136,0.07537358309392977,0.09746245755235923,0.12386011848551133,0.15048376172108885,0.17406145592369132,0.19185056847713533,0.20156231221180423,0.20142133009493035,0.19028599297198806,0.1678141088590321,0.13476870288754372,0.09408724020736237,0.057508558348223805,0.06621756281380341,0.1184334956255003,0.18078625684888797,0.242940296589596,0.2999815673782657,0.34828026073603896,0.3849504422330728,0.4078432121117897
