class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,0.315,0.31257941518396803,0.3054014015146491,0.29371486110126793,0.2779271212281398,0.25859348304628704,0.23640432024369376,0.21217171825756528,0.18681857580674333,0.16137400119748485,0.13697820744231323,0.11489164330391141,0.09646787411932828,0.08296238687404542,0.07500352342365559,0.0719457886778718,0.0719483321557908,0.07290415263096432,0.07321571317511648,0.07197605547789505,0.06885929277743022,0.06398916637600933,0.05786632857201167,0.05135763342565594,0.04570189802995158,0.042346649441815314,0.042303453986618444,0.045349245785676146,0.05019760798014647,0.055392224078450465,0.05981357392423573,0.0627337285919071
positive,0.36531250000000004,0.35739049912860826,0.33429297173486283,0.2979792473108649,0.25157412624078634,0.19921314896216402,0.1460032545337882,0.0985551877403601,0.0669822662945009,0.06167302578366563,0.0724384384352541,0.0822296233684616,0.08573457358914041,0.08547835720058491,0.08897610300185453,0.1037816107344461,0.13016703511738295,0.16236443679194504,0.19390251648205478,0.2194939973622007,0.23519517456807396,0.23840037923444352,0.22787696420273956,0.20378889700996755,0.1676803396780689,0.12248538060741326,0.07312813244510108,0.03459387569770264,0.05355260154807046,0.09430989216750749,0.12861797202818478,0.1507950485734539
positive,0.3459375,0.3430948092234189,0.3346761661656117,0.3210071691608791,0.3026218668610892,0.2802510925390511,0.25480874862330816,0.22737877703118167,0.19920589402243985,0.17169084141721058,0.1463787916362517,0.12489082080852644,0.10867241160983956,0.09842812869026757,0.09349029737933676,0.09187419214806804,0.09116487896251495,0.08936318742899645,0.08517674959551266,0.07795870016937562,0.0675677644273091,0.05426676224437028,0.038733715751735356,0.022614373102241667,0.013962144327447235,0.025688069527443194,0.04339903958481451,0.06092213201834794,0.07669432337341847,0.08982305384501793,0.09966213817828913,0.10575152067944937
positive,0.21125,0.20878146781419446,0.20150773971556496,0.18982889631299288,0.17442995835435474,0.15632080972934403,0.13691935247696596,0.1181961102323836,0.10281414454759147,0.0938449640289061,0.09329542369600315,0.10029802760977827,0.11171699251212519,0.12428234845460592,0.1355956072987331,0.14410174147825658,0.14885303679300604,0.14933599233138867,0.14536939016651546,0.13704287639541501,0.12467429800185455,0.10877417062809108,0.09001180063630936,0.06918126366688344,0.0471694266018463,0.02494878639133388,0.004528117110553018,0.017395873879417212,0.03496396545428733,0.0495290217525305,0.060398193308585896,0.06710718115137829
positive,0.2103125,0.20784626401295433,0.20057988492252968,0.18891498827704073,0.17353979388161675,0.15547027126191235,0.136135595329936,0.11752591698414924,0.10233140829742104,0.09363599710984345,0.09340019687514403,0.10067234896506554,0.11227952933473857,0.1249655456872573,0.13635573354026204,0.14491231282786937,0.14969793804942672,0.15020512377579548,0.14625619310619933,0.1379429436473598,0.12558457965199854,0.10969250930273632,0.0909366554820317,0.07011154291339886,0.04810431439451668,0.025886202699171437,0.005261082234340607,0.016493360972823057,0.0340366708202549,0.04859576110696905,0.05946231608807344,0.06617005826378919
positive,0.2103125,0.20785722923035255,0.200624020425996,0.18901532377510427,0.1737206735027249,0.15575743519367238,0.13655458080920857,0.11809500821112706,0.1030415348185052,0.09441817567105465,0.09412709643524285,0.10123221920494747,0.1126261593773575,0.12509708207235998,0.13628487332491382,0.14465319984054606,0.14926283707356633,0.14960431802896085,0.14549859229354464,0.13703667885521859,0.1245374214016116,0.10851207845066041,0.08963037608167589,0.06868611607024257,0.046563765845846046,0.024223122328646485,0.003603227558056844,0.018088467396532103,0.035772068255877046,0.05039781927621618,0.061305894764146794,0.06803731146996889
positive,0.3846875,0.37676261252274085,0.35365464804459223,0.31731598960636925,0.27085223613631115,0.21834354518796673,0.16471682745874877,0.11591716693507803,0.07977819269556752,0.0649682521024048,0.06851260431633167,0.07608407047118074,0.08075517756600356,0.08454460428722621,0.09418822545100747,0.1147175855249427,0.14470504753204017,0.17880811457138293,0.21134141849389632,0.23747392980893223,0.25347874105571844,0.256850287197984,0.24639938899467068,0.22229865692988107,0.18606033371659014,0.1404787845285081,0.089783173096815,0.04246977978816082,0.038081224823411405,0.07548796131499547,0.1093638624741851,0.13144120793290565
positive,0.45562499999999995,0.4421369540821265,0.4030115782783714,0.34210654169762794,0.26534992864418316,0.18009788615736316,0.0946506499517943,0.025024528601634777,0.060644487785007084,0.11021947387733394,0.1429910516665814,0.1590098954093898,0.16229011621529177,0.16003011075277662,0.16111850472131398,0.17183709105759362,0.19154491150902445,0.21417606614350587,0.23284146734748554,0.24234189413655832,0.23969526782230172,0.22402629671005395,0.1963351199296694,0.15928208367794475,0.11721866255547417,0.07753743594928014,0.056591257488670554,0.0700336712580006,0.09836481652983967,0.12512402422337857,0.14538392331497693,0.15774303654955732
positive,0.45281249999999995,0.43971161866943753,0.40163923985172595,0.3421576876622999,0.266796452211431,0.18253039729198772,0.09745172110090486,0.027651946829406575,0.06093029317498824,0.11157948045343953,0.14544585867052476,0.16180486777466405,0.16425861734901456,0.160087679808394,0.1591078601814367,0.16902881555695326,0.18965660786339614,0.21409540609767985,0.23446380971482628,0.2449726413421976,0.24245478222709796,0.22614779856616457,0.19734957644911977,0.1590902203588386,0.1160675624845718,0.07598229766455876,0.055601577947667694,0.06972254281937794,0.09773281902305973,0.12375683664468465,0.14327839676297863,0.15511659837835517
positive,0.4025,0.3964329310530348,0.3786382457492299,0.3503020046303344,0.3132919605438012,0.27000310627651186,0.22315867355779834,0.17558183773946603,0.12995554680279733,0.08859135624708551,0.0532498580951309,0.025266568410275237,0.010089285040700308,0.01995708897491211,0.03344459368017884,0.046777519974753885,0.060625,0.07472987242583902,0.08788063920285662,0.09845939556604183,0.1049527160735698,0.10632504391196697,0.102309949816773,0.09371491437816684,0.08286986925406571,0.0741846157916417,0.0733841980027264,0.08292830204512573,0.0992984764473727,0.11718184567252946,0.1325195700399354,0.1426982863464108
