response,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21
6098.04,3.0,20.0,10.0,1.0,7.0,17.0,8.0,1.0,8.0,6.0,9.0,8.0,20.0,1.0,17.0,1.0,17.0,1.0,5.0,1.0,12.0,0.0
15368.34,1.0,10.0,7.0,13.0,7.0,8.0,11.0,17.0,18.0,8.0,1.0,9.0,6.0,14.0,10.0,15.0,10.0,8.0,14.0,8.0,10.0,12.0
11455.44,1.0,1.0,16.0,7.0,11.0,2.0,10.0,11.0,19.0,8.0,8.0,16.0,1.0,3.0,8.0,16.0,3.0,1.0,20.0,17.0,14.0,12.0
10565.22,20.0,8.0,20.0,6.0,20.0,1.0,1.0,6.0,9.0,3.0,17.0,16.0,20.0,14.0,19.0,8.0,11.0,15.0,6.0,7.0,12.0,0.0
11390.4,11.0,15.0,11.0,20.0,8.0,8.0,9.0,7.0,8.0,1.0,8.0,20.0,20.0,20.0,8.0,13.0,8.0,7.0,3.0,20.0,12.0,0.0
9458.58,11.0,6.0,3.0,17.0,16.0,3.0,16.0,17.0,4.0,1.0,8.0,7.0,11.0,14.0,3.0,1.0,6.0,3.0,1.0,8.0,19.0,12.0
15426.8399999999,16.0,11.0,16.0,11.0,7.0,7.0,20.0,7.0,8.0,9.0,11.0,14.0,7.0,10.0,10.0,4.0,7.0,1.0,16.0,12.0,0.0,0.0
11769.36,8.0,19.0,20.0,17.0,4.0,13.0,6.0,9.0,19.0,6.0,7.0,13.0,19.0,6.0,6.0,16.0,10.0,3.0,7.0,15.0,7.0,12.0
15416.46,9.0,4.0,16.0,20.0,7.0,7.0,1.0,18.0,11.0,5.0,4.0,10.0,4.0,7.0,1.0,20.0,10.0,2.0,11.0,16.0,12.0,0.0
11325.72,6.0,8.0,3.0,7.0,8.0,3.0,10.0,1.0,16.0,3.0,19.0,10.0,17.0,6.0,20.0,15.0,11.0,6.0,12.0,0.0,0.0,0.0
6661.38,9.0,5.0,15.0,16.0,16.0,17.0,19.0,20.0,10.0,5.0,3.0,4.0,17.0,3.0,11.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
9836.04,11.0,19.0,4.0,10.0,1.0,16.0,8.0,6.0,17.0,6.0,6.0,10.0,8.0,13.0,9.0,16.0,1.0,15.0,10.0,12.0,0.0,0.0
4970.298,9.0,6.0,20.0,4.0,11.0,16.0,8.0,16.0,8.0,17.0,3.0,3.0,13.0,8.0,16.0,3.0,8.0,1.0,15.0,12.0,0.0,0.0
11184.3,11.0,7.0,10.0,11.0,16.0,9.0,7.0,8.0,16.0,20.0,20.0,7.0,17.0,10.0,4.0,13.0,2.0,3.0,12.0,0.0,0.0,0.0
13294.08,7.0,1.0,19.0,3.0,19.0,3.0,4.0,7.0,6.0,19.0,6.0,1.0,10.0,16.0,11.0,20.0,3.0,19.0,3.0,20.0,7.0,12.0
11505.12,18.0,10.0,8.0,8.0,9.0,8.0,17.0,17.0,10.0,8.0,8.0,10.0,10.0,20.0,4.0,16.0,8.0,12.0,0.0,0.0,0.0,0.0
13184.82,3.0,9.0,8.0,3.0,20.0,7.0,8.0,19.0,8.0,11.0,4.0,18.0,16.0,15.0,11.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0
9829.5,7.0,1.0,4.0,3.0,16.0,17.0,16.0,19.0,19.0,10.0,1.0,8.0,9.0,1.0,17.0,17.0,20.0,10.0,4.0,8.0,12.0,0.0
10228.8,9.0,6.0,20.0,5.0,17.0,15.0,8.0,8.0,17.0,17.0,10.0,1.0,8.0,11.0,5.0,20.0,13.0,7.0,7.0,12.0,0.0,0.0
5913.5459999999985,15.0,17.0,8.0,15.0,8.0,8.0,1.0,1.0,16.0,9.0,11.0,15.0,3.0,1.0,13.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
11346.18,19.0,16.0,20.0,15.0,10.0,20.0,1.0,3.0,8.0,2.0,4.0,11.0,13.0,1.0,5.0,1.0,6.0,17.0,8.0,16.0,8.0,12.0
12592.62,15.0,6.0,8.0,16.0,10.0,7.0,9.0,11.0,6.0,16.0,8.0,20.0,19.0,19.0,11.0,17.0,3.0,10.0,4.0,4.0,12.0,0.0
15324.3,19.0,4.0,3.0,10.0,15.0,7.0,9.0,1.0,14.0,19.0,13.0,20.0,8.0,8.0,10.0,7.0,4.0,20.0,20.0,1.0,12.0,0.0
8477.34,7.0,11.0,20.0,1.0,2.0,20.0,6.0,8.0,8.0,7.0,7.0,20.0,3.0,1.0,7.0,7.0,11.0,12.0,0.0,0.0,0.0,0.0
15347.52,9.0,1.0,11.0,15.0,14.0,7.0,8.0,13.0,11.0,15.0,4.0,14.0,8.0,16.0,15.0,20.0,10.0,7.0,8.0,17.0,12.0,0.0
8446.8,9.0,8.0,14.0,13.0,16.0,16.0,3.0,8.0,4.0,19.0,4.0,8.0,1.0,3.0,2.0,14.0,13.0,8.0,16.0,12.0,0.0,0.0
15121.98,8.0,11.0,16.0,11.0,11.0,4.0,14.0,17.0,16.0,16.0,4.0,3.0,3.0,19.0,13.0,17.0,6.0,20.0,9.0,4.0,19.0,12.0
9040.62,12.0,1.0,7.0,7.0,17.0,10.0,16.0,18.0,11.0,4.0,16.0,3.0,17.0,17.0,1.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
10186.02,17.0,20.0,10.0,14.0,17.0,9.0,8.0,20.0,7.0,15.0,17.0,20.0,20.0,20.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
13877.64,6.0,19.0,11.0,10.0,17.0,6.0,3.0,8.0,16.0,10.0,6.0,8.0,11.0,15.0,3.0,20.0,15.0,6.0,7.0,11.0,12.0,0.0
9604.5,19.0,20.0,3.0,4.0,11.0,16.0,9.0,4.0,7.0,17.0,20.0,11.0,11.0,4.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0
14935.68,15.0,17.0,19.0,3.0,15.0,19.0,17.0,7.0,15.0,16.0,13.0,7.0,10.0,14.0,16.0,18.0,9.0,7.0,8.0,11.0,6.0,12.0
9184.98,7.0,9.0,4.0,7.0,10.0,7.0,7.0,6.0,8.0,4.0,1.0,11.0,6.0,4.0,20.0,7.0,7.0,16.0,16.0,7.0,12.0,0.0
15294.9,15.0,17.0,16.0,17.0,17.0,7.0,17.0,20.0,1.0,1.0,16.0,1.0,20.0,1.0,1.0,20.0,14.0,7.0,6.0,12.0,0.0,0.0
11666.82,8.0,6.0,20.0,20.0,8.0,16.0,10.0,10.0,1.0,11.0,4.0,2.0,6.0,7.0,20.0,20.0,16.0,17.0,4.0,4.0,12.0,0.0
13057.08,16.0,17.0,16.0,8.0,3.0,17.0,9.0,11.0,8.0,8.0,6.0,4.0,14.0,4.0,17.0,3.0,11.0,11.0,7.0,9.0,14.0,12.0
11740.26,19.0,16.0,8.0,20.0,5.0,9.0,17.0,4.0,11.0,9.0,1.0,18.0,9.0,8.0,4.0,18.0,15.0,11.0,15.0,20.0,12.0,0.0
11664.84,9.0,16.0,15.0,4.0,14.0,16.0,1.0,14.0,4.0,1.0,5.0,9.0,3.0,8.0,1.0,16.0,14.0,14.0,12.0,0.0,0.0,0.0
6772.14,15.0,20.0,17.0,20.0,9.0,5.0,4.0,9.0,11.0,10.0,6.0,1.0,6.0,20.0,8.0,8.0,7.0,12.0,0.0,0.0,0.0,0.0
11202.9,4.0,3.0,1.0,7.0,8.0,6.0,8.0,7.0,16.0,11.0,1.0,4.0,6.0,1.0,2.0,4.0,19.0,13.0,8.0,1.0,1.0,12.0
13307.34,11.0,7.0,4.0,20.0,16.0,10.0,17.0,9.0,13.0,17.0,14.0,8.0,15.0,7.0,14.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0
9450.84,10.0,16.0,9.0,20.0,16.0,17.0,8.0,8.0,8.0,1.0,16.0,11.0,7.0,11.0,11.0,7.0,8.0,12.0,0.0,0.0,0.0,0.0
14111.039999999899,16.0,9.0,11.0,6.0,16.0,3.0,6.0,11.0,19.0,16.0,3.0,6.0,11.0,15.0,11.0,4.0,14.0,1.0,11.0,8.0,12.0,0.0
11278.14,16.0,6.0,11.0,11.0,19.0,16.0,9.0,16.0,11.0,1.0,9.0,7.0,11.0,1.0,7.0,19.0,5.0,7.0,1.0,12.0,0.0,0.0
3702.672,20.0,9.0,16.0,8.0,16.0,7.0,6.0,11.0,1.0,3.0,1.0,16.0,7.0,4.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10858.8,6.0,20.0,7.0,4.0,7.0,4.0,9.0,13.0,7.0,20.0,14.0,15.0,1.0,8.0,16.0,16.0,14.0,15.0,16.0,17.0,12.0,0.0
13273.56,15.0,16.0,19.0,19.0,11.0,4.0,15.0,7.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,20.0,1.0,3.0,6.0,8.0,12.0
8005.14,11.0,19.0,8.0,17.0,4.0,4.0,3.0,17.0,6.0,7.0,20.0,7.0,1.0,20.0,17.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
12660.66,7.0,7.0,1.0,1.0,15.0,12.0,15.0,15.0,16.0,16.0,1.0,20.0,14.0,16.0,13.0,14.0,8.0,8.0,12.0,0.0,0.0,0.0
11486.1,20.0,16.0,10.0,16.0,9.0,4.0,4.0,11.0,6.0,1.0,20.0,1.0,20.0,1.0,20.0,16.0,17.0,12.0,0.0,0.0,0.0,0.0
10651.32,6.0,4.0,9.0,19.0,8.0,8.0,7.0,1.0,1.0,16.0,20.0,17.0,11.0,16.0,6.0,11.0,19.0,7.0,12.0,0.0,0.0,0.0
7796.7,17.0,15.0,5.0,8.0,17.0,20.0,8.0,19.0,17.0,1.0,15.0,7.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15245.22,7.0,1.0,10.0,19.0,8.0,7.0,15.0,4.0,9.0,20.0,10.0,17.0,20.0,4.0,20.0,20.0,13.0,4.0,3.0,11.0,12.0,0.0
13874.46,20.0,19.0,20.0,20.0,1.0,17.0,9.0,8.0,10.0,14.0,17.0,8.0,4.0,5.0,11.0,7.0,7.0,11.0,7.0,12.0,0.0,0.0
14066.76,9.0,11.0,3.0,17.0,16.0,5.0,7.0,11.0,20.0,3.0,16.0,11.0,13.0,9.0,11.0,16.0,15.0,7.0,4.0,12.0,0.0,0.0
13851.54,8.0,15.0,10.0,19.0,3.0,4.0,6.0,3.0,13.0,20.0,10.0,16.0,4.0,16.0,8.0,19.0,11.0,11.0,16.0,12.0,0.0,0.0
11370.78,8.0,6.0,19.0,11.0,20.0,5.0,13.0,4.0,1.0,4.0,11.0,6.0,9.0,15.0,15.0,7.0,17.0,20.0,15.0,12.0,0.0,0.0
9999.42,6.0,8.0,1.0,8.0,16.0,1.0,17.0,11.0,16.0,13.0,1.0,14.0,1.0,8.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10136.76,9.0,8.0,1.0,4.0,5.0,11.0,7.0,1.0,3.0,6.0,4.0,20.0,4.0,16.0,15.0,10.0,18.0,17.0,15.0,16.0,12.0,0.0
10328.58,1.0,1.0,1.0,7.0,8.0,20.0,1.0,3.0,11.0,9.0,11.0,4.0,7.0,1.0,17.0,8.0,7.0,13.0,20.0,16.0,12.0,0.0
15266.039999999899,7.0,15.0,20.0,16.0,4.0,18.0,17.0,4.0,4.0,20.0,7.0,1.0,2.0,10.0,3.0,14.0,8.0,10.0,7.0,12.0,0.0,0.0
15229.56,3.0,16.0,4.0,20.0,18.0,14.0,11.0,4.0,9.0,3.0,19.0,10.0,7.0,3.0,13.0,3.0,7.0,13.0,5.0,12.0,0.0,0.0
12057.0,14.0,4.0,16.0,16.0,20.0,4.0,2.0,8.0,16.0,15.0,14.0,6.0,5.0,3.0,10.0,8.0,20.0,8.0,6.0,20.0,10.0,12.0
8505.9,10.0,7.0,1.0,5.0,8.0,20.0,5.0,8.0,16.0,4.0,10.0,9.0,5.0,1.0,1.0,8.0,9.0,18.0,8.0,3.0,13.0,12.0
