class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,0.1846875,0.18280226966942845,0.17720888720200553,0.16809198060585964,0.155751692615911,0.14059262967826397,0.1231089906676138,0.1038664565065096,0.08348157680684679,0.06259960738077885,0.04187243727244466,0.021943562937826965,0.003684915291133347,0.01351240014566642,0.027821630333146986,0.039485308127334286,0.04823546575135354,0.053946039298103626,0.056615782952086934,0.05636654141861903,0.05344141735560209,0.048204646642535154,0.04115192631189064,0.032958480496688175,0.02465714442798559,0.018205531028743255,0.016893588158742846,0.021263603750356814,0.027817255123399425,0.034140651431484224,0.0391602809816894,0.042347577400685746
positive,0.181875,0.17829079712555365,0.1677859489626706,0.15108564386878873,0.12934062814595265,0.10404997355304646,0.07698014709622544,0.05015820357839644,0.02644338892131806,0.01514314533994864,0.025048323810260054,0.036670062060933,0.04379644980382924,0.045592163763658614,0.042267055460887555,0.03454413640904879,0.02348952559120767,0.01039903277103754,0.00366320555630841,0.016718007148014042,0.02809098515036861,0.036737156624801016,0.0420376697389688,0.043740592344795194,0.04196777403384546,0.03719634361196105,0.030222824938865762,0.022144323959122025,0.014486655883013046,0.009802976521249729,0.010305017291907123,0.012695443424444982
positive,0.164375,0.16276418302811171,0.15798496135211712,0.15019506619081902,0.13965093749347296,0.12669832097817166,0.11175962943572919,0.09531858919990534,0.07790286486434703,0.060065668849868935,0.04236843158996019,0.02537313646770194,0.009746124196735274,0.005700965473111148,0.01744611667714757,0.02732922558629063,0.03475640678349821,0.03958243092994118,0.04178917068625983,0.04146347659560505,0.03878812366097334,0.03403196572312542,0.027537570376909015,0.019706342789370068,0.01098165611040907,0.0018338385859604147,0.007281374826425651,0.015890044801059978,0.02357801270669282,0.029973611486764258,0.034771256005230775,0.03774346807313122
positive,0.14375000000000002,0.14217549963815634,0.1375065964513233,0.12990551126945601,0.11963762561497807,0.10706504199261123,0.09264034732049505,0.07690602028480262,0.0605152366944808,0.04432921542392776,0.02982234864317371,0.02059966635781957,0.0221472020779151,0.03091036201089466,0.04069065902402134,0.04920425279390478,0.05565659215223297,0.05972745364702024,0.061320351170172545,0.06048791877618421,0.057402181520717487,0.05233825442172153,0.04566421467452529,0.0378399150939613,0.02944167756448271,0.0212756365608241,0.014788992072912593,0.012620329267106075,0.015428813434381163,0.01994797700636093,0.023956565160717723,0.026589667334196248
positive,0.151875,0.15029972172685613,0.1456282958536332,0.13802230029566828,0.1277457415389741,0.11515793348970196,0.10070559134125824,0.08491778490910289,0.06841322203424306,0.05194904391554547,0.03661794685350867,0.02459577643846972,0.020483074518872296,0.025681923788206794,0.03417053919388133,0.04216953183445368,0.048384043082404765,0.05233946061179517,0.05388454020580578,0.0530521738439336,0.05001155170309047,0.045048872819530024,0.03856442870961423,0.03109782041544215,0.02343754575234699,0.016996525801907855,0.014401333194289646,0.017079073485295485,0.02232924367642262,0.027657100433813444,0.03194822070388641,0.03468685507544628
positive,0.151875,0.15025199052047006,0.1454369218638295,0.13758984753277353,0.1269715748892749,0.11393527157055833,0.09891600723462621,0.08242043399217043,0.06502254297227855,0.04738644241624359,0.030419779205870884,0.016340051893062358,0.014022236178056216,0.02414733484251098,0.03549347760534534,0.04526998800516905,0.05280047940123272,0.05783505496360229,0.06030837256677129,0.060283717080396336,0.057931556372575174,0.0535153880749703,0.047378787914083106,0.03993325241905931,0.03165053562608678,0.0230742750361511,0.014920278826098896,0.00867510190813872,0.007988246926279542,0.011873435611751157,0.01583268094701453,0.018464743877768492
positive,0.1825,0.17891559144961822,0.16841007977319328,0.15170848760513583,0.1299611685791293,0.10466624207372396,0.07758747963736015,0.05074185244384334,0.02692776366978962,0.015034274336950308,0.024504908002235724,0.036065729126202706,0.043177925208188396,0.044968950736669455,0.04164225399638276,0.03391924873860862,0.022865947662408397,0.009782192278538448,0.004273397032929723,0.017342560368733214,0.028713137465831057,0.03735616496592233,0.042652468865988974,0.044349431818240526,0.04256765108323406,0.03778168255780946,0.030781987979792924,0.02264868870868323,0.014850451950412732,0.009787550747666048,0.009852506973267425,0.012097490718992179
positive,0.2959375,0.28360414463592004,0.24844686587234027,0.1957129194013867,0.1333248642010519,0.07138428024370164,0.029304453169303565,0.04507877625637485,0.0662465236257625,0.07090539362455205,0.05956775229445795,0.03820249872294845,0.02336292924313784,0.03797255341974744,0.05754979578544693,0.0682207577776807,0.06691076730429865,0.054348349291946346,0.03391070704055665,0.012030474877784676,0.016143565018104728,0.030931417078174928,0.03722269659584208,0.0333897645257888,0.02102527455234035,0.009490213752873866,0.023963253278632274,0.04202314749046862,0.054712247773761116,0.059806579295976985,0.05790022713898856,0.05258764672488902
positive,0.2678125,0.25912816774364145,0.2340993071543496,0.19566932649921429,0.14834725007417202,0.0977722234457231,0.05091767880332343,0.024401956431249195,0.039826144764458296,0.05719392966670956,0.06387122266344589,0.06016837172860749,0.04960647299570531,0.038475229251377994,0.03500741385044601,0.040278123781442965,0.04625105573119387,0.04713569380259115,0.041053567944832565,0.028570468892852106,0.012026620478573434,0.008045087295873663,0.023755669853701283,0.035237132194685494,0.03990236215690007,0.03703124905676478,0.02808890363914598,0.020039061989914456,0.02756659676532071,0.045077307014769794,0.06196809434916432,0.07365963866138474
positive,0.2415625,0.23654122244125597,0.22181139037865932,0.19834931799459954,0.16769871337285125,0.13185285193660118,0.0931043176654086,0.05387994815106779,0.016668161468366274,0.01727704892194269,0.04479423115880729,0.06545974619537702,0.07849310802334718,0.08381625785152023,0.0819477673336362,0.0739334786536264,0.06125079718868971,0.045711136712561044,0.02946802469299707,0.015819622119863607,0.012908242394428797,0.019854052217871586,0.025922606324927225,0.028487571030672718,0.02757986504253546,0.02454675639312118,0.02232156274835398,0.024507276652951503,0.031258361748692225,0.03965663050029228,0.04718266633791806,0.05227256800418142
positive,0.7940625,0.6119301029084011,0.21682374781514432,0.10927990706549914,0.14696706832467585,0.013693400970988116,0.1154980910595366,0.09138711820970935,0.03745368223789815,0.07268442130872649,0.02852962177935481,0.03015113276326126,0.023712861564850436,0.030998922029787105,0.055245827485409404,0.018333893001156554,0.030855320144992843,0.030668449922480925,0.01589690872190141,0.039870731004562655,0.027648086678781405,0.05487420088302703,0.06089961202620736,0.041278192626902716,0.035577751113899166,0.01686511228196897,0.0926784811534945,0.1292366809956459,0.09746463436785106,0.05955770472871701,0.06027587411894882,0.04479118455428052
